,MSFT,GOOGL,AMZN,V,EQIX,ILMN,ROK,NEE,COST,ALB,SLB
2021-08,0.159747882962574,0.1466625748271128,0.11019172457944806,0.10003636189126454,0.0873354866079492,0.07956376650229141,0.07142500171715115,0.07064258565881242,0.06197742673781045,0.06966625395312426,0.042750934562461824
2021-09,0.16329327917990172,0.15167119545562438,0.11066833328061375,0.08968658223520287,0.08675854293235327,0.0706474821250923,0.07305429633109585,0.07367415326534427,0.06325614028929354,0.07707586065207574,0.040214134253402374
2021-10,0.16,0.14,0.12,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.05
2021-11,0.17432522816558282,0.143614005168008,0.11410614083667113,0.08805867699546929,0.08831434482575624,0.07582591776278111,0.07042908144317553,0.07046037505840243,0.06089094960819662,0.06356935516538231,0.05040592497057447
2021-12,0.17591627719166203,0.13908418205246048,0.11989840324046802,0.08155696815678681,0.08689613099670061,0.06743650156506789,0.0751615420769686,0.07272521338099622,0.06751367282832549,0.0683401422064359,0.04547096630412796
2022-01,0.16,0.14,0.12,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.05
2022-02,0.15855191089529033,0.14014712617004832,0.11537924245882568,0.11184787382714101,0.08266163153742323,0.07860982647213181,0.06219555282937977,0.0627727275102493,0.057214641021813596,0.0607176860083098,0.06990178126938731
2022-03,0.15630994697399117,0.1432441150011705,0.12129535295474572,0.10961708412209813,0.0828711968730745,0.07536612649693404,0.05893869442631901,0.06475710753987232,0.06031464517545808,0.05517355902443071,0.07211217141190575
2022-04,0.16,0.14,0.12,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.05
2022-05,0.16392945209383458,0.1307538159957595,0.10414468206143661,0.10938861334101027,0.09932727811078777,0.07731107853743753,0.0718914957164513,0.0667996834170934,0.06316276013642745,0.059548269226900756,0.05374287136286094
2022-06,0.16244742945654844,0.1315552929978607,0.10165948634240111,0.11010794378652701,0.09624346162323782,0.06298616033786511,0.0615577169669592,0.07225659426704334,0.055891724710733566,0.08116100246267849,0.06413318704814522
2022-07,0.16,0.14,0.12,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.05
2022-08,0.15466730881866464,0.13216709021623263,0.13483688379546493,0.09527027642907265,0.0852503258297719,0.08314997460803283,0.07928769754300193,0.0675220770911934,0.060030093826351764,0.062030850143725884,0.04578742169848735
2022-09,0.1509870032818109,0.1286113011592484,0.13248140390660104,0.09351626987394747,0.0836534752077281,0.08093243101119375,0.07731387010800915,0.07144462671542533,0.06056018517036503,0.07116050412471624,0.049338929440954506
2022-10,0.16,0.14,0.12,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.05
2022-11,0.1503270873458408,0.1303996121528138,0.10254815021401627,0.10992491689146502,0.08448152502512712,0.09044484608395237,0.07831476454112173,0.06522043398715792,0.060168687886617125,0.059859884419194626,0.06831009145269326
2022-12,0.15754929696754055,0.13249109690790617,0.09189150918983031,0.10973103131157616,0.0984210400795754,0.08196255715758763,0.07742747792266257,0.06812010025012513,0.06151762347374556,0.056535160430240795,0.06435310630920951
